,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),Total Annual Members (All Time),3-Day Passes Purchased (midnight to 11:59 pm)
46,5/17/18,49788,107763,1755,265936,113.0
47,5/18/18,63112,146437,2663,266075,240.0
48,5/19/18,18026,45461,639,266135,53.0
49,5/20/18,56946,158983,5458,266399,304.0
50,5/21/18,71218,172936,3551,266669,267.0
51,5/22/18,48508,109420,1090,266868,103.0
52,5/23/18,72653,170812,2952,267098,294.0
53,5/24/18,74808,177631,3417,267330,294.0
54,5/25/18,69342,174715,4381,267536,336.0
55,5/26/18,51592,155957,6129,267703,417.0
56,5/27/18,25813,78075,1631,267815,82.0
57,5/28/18,49040,140226,5148,268037,267.0
58,5/29/18,69090,170334,2896,268305,249.0
59,5/30/18,72321,159297,2742,268645,216.0
60,5/31/18,55798,123710,1414,268998,101.0
61,6/1/18,62890,147780,3049,269167,250.0
62,6/2/18,60287,158528,5634,269371,307.0
63,6/3/18,50041,134416,3892,269544,154.0
64,6/4/18,58910,130774,2372,269763,166.0
65,6/5/18,71906,155007,2682,269934,199.0
66,6/6/18,69797,154726,2479,270119,173.0
67,6/7/18,70478,160532,2808,270274,198.0
68,6/8/18,72696,163188,3915,270455,283.0
69,6/9/18,65239,171623,6917,270657,292.0
70,6/10/18,41639,106867,3136,270825,112.0
71,6/11/18,68060,154381,3044,271146,243.0
72,6/12/18,76255,166828,3260,271364,215.0
73,6/13/18,64270,144934,2044,271541,104.0
74,6/14/18,75803,173109,3359,271708,227.0
75,6/15/18,72417,160081,4005,271883,296.0
76,6/16/18,63182,165240,7037,272071,339.0
77,6/17/18,56218,146611,5760,272306,232.0
78,6/18/18,63551,136481,2498,272522,206.0
79,6/19/18,72168,153883,2902,272780,230.0
80,6/20/18,74088,165836,2929,272950,231.0
81,6/21/18,70050,158375,3026,273114,262.0
82,6/22/18,71084,156062,3736,273291,263.0
83,6/23/18,51028,118620,4172,273422,207.0
84,6/24/18,55775,152057,5862,273615,232.0
85,6/25/18,71747,163026,3441,273820,221.0
86,6/26/18,80643,171973,3442,274006,254.0
87,6/27/18,67647,140557,2457,274165,183.0
88,6/28/18,50431,104860,1967,274290,154.0
89,6/29/18,69856,151785,3940,274467,326.0
90,6/30/18,54713,134347,5425,274628,360.0
0,4/1/19,51399,75072,1466,303223,76.0
1,4/2/19,57903,83399,1483,303386,73.0
2,4/3/19,67924,108780,3013,303552,79.0
3,4/4/19,66403,104268,2633,303699,87.0
4,4/5/19,34470,46930,812,303766,46.0
5,4/6/19,66532,143054,8852,303958,139.0
6,4/7/19,64713,138291,8191,304216,87.0
7,4/8/19,70514,123304,3804,304525,89.0
8,4/9/19,59336,86248,1684,304677,79.0
9,4/10/19,70988,112985,2845,304865,116.0
10,4/11/19,62430,93232,2222,305003,93.0
11,4/12/19,58010,92517,2811,305134,118.0
12,4/13/19,71500,159264,10443,305362,128.0
13,4/14/19,58474,123470,7263,305584,119.0
14,4/15/19,45663,71673,1816,305722,75.0
15,4/16/19,63323,106799,3197,305906,134.0
16,4/17/19,65249,109668,3276,306077,89.0
17,4/18/19,61568,98909,2845,306205,104.0
18,4/19/19,64939,120796,5782,306365,271.0
19,4/20/19,36785,68489,4049,306453,115.0
20,4/21/19,51869,114490,7439,306647,140.0
21,4/22/19,44112,71869,3426,306827,69.0
22,4/23/19,75443,143334,5928,307082,202.0
23,4/24/19,77736,144473,5868,307320,135.0
24,4/25/19,60834,101124,3569,307484,114.0
25,4/26/19,37121,55000,1387,307578,76.0
26,4/27/19,56442,111440,7022,307737,151.0
27,4/28/19,41204,68976,3338,307862,87.0
28,4/29/19,60801,98707,2829,308020,104.0
29,4/30/19,62668,99225,2715,308192,94.0
30,5/1/19,60904,93434,2285,308383,106.0
31,5/2/19,68714,115573,3763,308575,171.0
32,5/3/19,62410,100885,3452,308738,151.0
33,5/4/19,56025,114113,7286,308919,110.0
34,5/5/19,16169,25232,802,308988,16.0
35,5/6/19,69920,121887,4178,309187,166.0
36,5/7/19,72829,126637,4055,309356,124.0
37,5/8/19,76398,130821,4255,309530,131.0
38,5/9/19,66689,105721,2851,309646,130.0
39,5/10/19,68044,114830,4427,309790,163.0
40,5/11/19,69788,153674,10581,310021,133.0
41,5/12/19,10730,15759,475,310063,9.0
42,5/13/19,22300,29434,553,310141,19.0
43,5/14/19,42783,61756,1301,310248,73.0
44,5/15/19,74314,129217,4484,310395,140.0
45,5/16/19,77889,139278,5354,310590,174.0
46,5/17/19,72118,126992,5124,310760,167.0
47,5/18/19,73143,162302,11292,310992,227.0
48,5/19/19,69920,154638,10321,311245,193.0
49,5/20/19,74494,133696,5225,311495,173.0
50,5/21/19,79261,139284,5088,311686,160.0
51,5/22/19,82021,144186,5431,311888,153.0
52,5/23/19,56578,93244,3527,312082,121.0
53,5/24/19,74866,141169,7322,312276,245.0
54,5/25/19,59492,136772,10682,312484,279.0
55,5/26/19,49950,118192,9325,312648,145.0
56,5/27/19,66595,160750,12124,312896,136.0
57,5/28/19,59435,97330,2992,313092,96.0
58,5/29/19,55098,87647,2952,313251,111.0
59,5/30/19,52484,84325,2831,313402,129.0
60,5/31/19,83347,156832,7586,313606,261.0
61,6/1/19,76416,164956,12153,313815,214.0
62,6/2/19,67288,147247,10419,314051,144.0
63,6/3/19,77678,141960,6027,314327,152.0
64,6/4/19,83301,150076,6422,314642,168.0
65,6/5/19,78791,134998,5166,314889,143.0
66,6/6/19,81323,143619,6138,315121,183.0
67,6/7/19,82908,150312,7530,315337,256.0
68,6/8/19,78074,175352,13831,315583,206.0
69,6/9/19,73954,167597,12833,315861,121.0
70,6/10/19,37019,54769,1566,316007,44.0
0,7/1/16,39665,82871,1316,179756,139.0
1,7/2/16,35835,111151,3596,179903,314.0
2,7/3/16,35347,111116,4095,180016,169.0
3,7/4/16,34859,109745,3826,180158,155.0
4,7/5/16,43736,92107,1357,180338,160.0
5,7/6/16,51336,109240,1288,180540,153.0
6,7/7/16,48724,99975,1255,180725,113.0
7,7/8/16,44400,91632,1258,180852,152.0
8,7/9/16,38138,107359,2844,180990,145.0
9,7/10/16,41985,123282,3280,181172,137.0
10,7/11/16,52853,122260,1440,181381,211.0
11,7/12/16,56515,120414,1472,181571,192.0
12,7/13/16,55471,121029,1510,181748,146.0
13,7/14/16,50345,108541,1326,181877,126.0
14,7/15/16,48558,104701,1709,182016,173.0
15,7/16/16,38405,103429,3281,182144,122.0
16,7/17/16,41346,120635,3440,182314,153.0
17,7/18/16,43681,97216,1062,182488,154.0
18,7/19/16,54587,116806,1498,182624,139.0
19,7/20/16,57213,128799,1601,182792,158.0
20,7/21/16,54832,128476,1553,182950,161.0
21,7/22/16,49185,105666,1701,183072,176.0
22,7/23/16,37522,101810,2932,183177,138.0
23,7/24/16,39634,113680,2966,183332,114.0
24,7/25/16,35376,85145,920,183473,150.0
25,7/26/16,52904,108783,1385,183595,168.0
26,7/27/16,54148,115744,1403,183731,132.0
27,7/28/16,50134,98694,1292,183846,123.0
28,7/29/16,37693,81355,1441,183937,162.0
29,7/30/16,27780,72197,2242,184039,112.0
30,7/31/16,27651,70377,1641,184157,82.0
31,8/1/16,49395,101134,1359,184325,166.0
32,8/2/16,56744,116187,1636,184558,181.0
33,8/3/16,56992,118370,1827,184766,143.0
34,8/4/16,56587,118563,1778,184960,148.0
35,8/5/16,53286,116534,2012,185186,185.0
36,8/6/16,44209,125188,4159,185436,153.0
37,8/7/16,43631,116183,3856,185682,149.0
38,8/8/16,52251,115847,1753,185956,184.0
39,8/9/16,56101,114892,1701,186223,165.0
40,8/10/16,50100,101761,1158,186401,109.0
41,8/11/16,47420,93639,1238,186596,152.0
42,8/12/16,44729,90685,1467,186771,144.0
43,8/13/16,38903,100035,3333,186990,125.0
44,8/14/16,32961,74055,2154,187173,91.0
45,8/15/16,49056,107305,1417,187394,175.0
46,8/16/16,50411,103010,1295,187601,164.0
47,8/17/16,53983,113583,1430,187820,138.0
48,8/18/16,53209,115041,1459,187998,163.0
49,8/19/16,51658,110723,1862,188186,175.0
50,8/20/16,45808,138864,4385,188499,167.0
51,8/21/16,35041,96941,2664,188725,127.0
52,8/22/16,54201,118995,1679,188996,192.0
53,8/23/16,58665,127012,1675,189297,170.0
54,8/24/16,58134,127066,1597,189577,160.0
55,8/25/16,53480,111985,1436,189856,169.0
56,8/26/16,52026,112005,1878,190156,197.0
57,8/27/16,45673,120578,3767,190480,173.0
58,8/28/16,44639,121056,3560,190844,159.0
59,8/29/16,53279,115101,1530,191255,174.0
60,8/30/16,57392,121098,1510,191713,160.0
61,8/31/16,57200,118815,1320,192380,136.0
62,9/1/16,38174,77415,714,192592,104.0
63,9/2/16,52999,126790,2314,192814,252.0
64,9/3/16,41629,117476,4009,193055,268.0
65,9/4/16,46020,140347,5467,193326,185.0
66,9/5/16,45431,118022,3778,193677,190.0
67,9/6/16,52432,108743,1018,194065,178.0
68,9/7/16,60278,130391,1328,194396,199.0
69,9/8/16,61551,130259,1511,194674,179.0
70,9/9/16,56804,118213,1582,194908,178.0
71,9/10/16,48454,127252,3549,195189,229.0
72,9/11/16,52238,136353,3572,195499,216.0
73,9/12/16,61083,127447,1620,195832,225.0
74,9/13/16,64818,135366,1462,196122,198.0
75,9/14/16,58928,121511,1369,196388,157.0
76,9/15/16,67312,140436,1612,196637,240.0
77,9/16/16,65257,145454,2047,196886,225.0
78,9/17/16,59199,154037,5117,197163,210.0
79,9/18/16,51685,131788,3191,197449,159.0
80,9/19/16,34205,67180,555,197620,101.0
81,9/20/16,64881,135085,1454,197880,200.0
82,9/21/16,65453,142356,1566,198118,182.0
83,9/22/16,67762,146370,1681,198363,207.0
84,9/23/16,65499,142458,2053,198577,248.0
85,9/24/16,53258,137355,3990,198827,212.0
86,9/25/16,53563,143312,3871,199198,169.0
87,9/26/16,61120,128011,1375,199480,170.0
88,9/27/16,61334,122347,1175,199739,150.0
89,9/28/16,59456,120072,931,199989,107.0
90,9/29/16,55550,104364,808,200201,131.0
91,9/30/16,21368,45194,175,200447,20.0
0,7/1/17,36737,107126,2828,228157,372.0
1,7/2/17,43035,128397,4314,228306,458.0
2,7/3/17,48193,130240,3243,228473,316.0
3,7/4/17,49924,146441,4929,228669,315.0
4,7/5/17,60321,149487,1886,228908,267.0
5,7/6/17,62147,140767,1646,229085,264.0
6,7/7/17,44068,103656,1283,229241,216.0
7,7/8/17,55015,146438,4138,229453,333.0
8,7/9/17,57118,159914,4471,229680,340.0
9,7/10/17,60908,141463,1546,229933,359.0
10,7/11/17,61670,141463,1269,230159,227.0
11,7/12/17,61786,132874,1376,230336,179.0
12,7/13/17,56475,126527,1322,230514,180.0
13,7/14/17,31851,70477,570,230610,101.0
14,7/15/17,56499,148067,4761,230772,378.0
15,7/16/17,56833,153666,4497,230981,308.0
16,7/17/17,62555,141323,1675,231225,289.0
17,7/18/17,66234,144623,1724,231416,243.0
18,7/19/17,63916,143277,1617,231603,267.0
19,7/20/17,59665,131871,1439,231741,229.0
20,7/21/17,60074,136330,1929,231882,304.0
21,7/22/17,48013,124272,3634,232049,332.0
22,7/23/17,46945,117035,3164,232212,249.0
23,7/24/17,43793,104460,989,232359,113.0
24,7/25/17,65339,148542,1549,232521,285.0
25,7/26/17,70329,168603,2054,232674,248.0
26,7/27/17,65773,144443,1666,232820,214.0
27,7/28/17,63911,151514,2293,232984,297.0
28,7/29/17,52955,132509,4085,233138,324.0
29,7/30/17,59364,165423,5214,233360,376.0
30,7/31/17,64231,153123,1862,233614,263.0
31,8/1/17,66676,147654,1813,233824,272.0
32,8/2/17,56179,122622,3291,233958,139.0
33,8/3/17,66144,146858,1849,234160,257.0
34,8/4/17,56391,128749,2212,234312,325.0
35,8/5/17,58966,169511,5299,234524,415.0
36,8/6/17,56473,161492,4686,234715,292.0
37,8/7/17,23395,55927,249,234851,34.0
38,8/8/17,65228,145901,1738,235084,331.0
39,8/9/17,67874,170524,1952,235283,300.0
40,8/10/17,66245,151415,1834,235457,262.0
41,8/11/17,63134,147098,2360,235623,358.0
42,8/12/17,60531,173581,5409,235890,405.0
43,8/13/17,57511,162040,4755,236098,337.0
44,8/14/17,61460,139535,1816,236328,294.0
45,8/15/17,52460,105695,948,236504,125.0
46,8/16/17,68434,159032,1905,236681,251.0
47,8/17/17,66654,156810,2087,236872,261.0
48,8/18/17,36619,90704,840,236984,124.0
49,8/19/17,62440,186037,5992,237324,461.0
50,8/20/17,55438,147379,4218,237518,313.0
51,8/21/17,61055,138059,1832,237710,277.0
52,8/22/17,60541,133409,1477,237878,260.0
53,8/23/17,65069,141360,1712,238057,219.0
54,8/24/17,66306,151449,1820,238257,315.0
55,8/25/17,64217,156344,2316,238406,325.0
56,8/26/17,50111,132832,3621,238546,214.0
57,8/27/17,54594,145524,4135,238771,278.0
58,8/28/17,60885,133126,1616,239016,272.0
59,8/29/17,35151,67448,424,239163,104.0
60,8/30/17,65328,147325,1760,239347,309.0
61,8/31/17,64881,144852,1727,239519,260.0
62,9/1/17,54881,129382,1775,239653,294.0
63,9/2/17,37810,107949,3359,239785,420.0
64,9/3/17,30955,83988,2394,239906,175.0
65,9/4/17,55284,164623,5298,240126,362.0
66,9/5/17,65443,140362,1607,240378,265.0
67,9/6/17,42318,86395,445,240541,90.0
68,9/7/17,69571,148669,1542,240750,356.0
69,9/8/17,69616,154397,1976,240903,322.0
70,9/9/17,60187,150847,4196,241108,272.0
71,9/10/17,60750,154588,4056,241329,301.0
72,9/11/17,71964,166177,1992,241563,276.0
73,9/12/17,74623,161263,1737,241775,238.0
74,9/13/17,69616,146802,1471,241991,199.0
75,9/14/17,72128,150535,1551,242211,244.0
76,9/15/17,72361,160138,2088,242393,323.0
77,9/16/17,61077,156839,4304,242552,297.0
78,9/17/17,60003,156834,3869,242748,229.0
79,9/18/17,64207,138078,1387,242968,190.0
80,9/19/17,57977,115451,914,243128,146.0
81,9/20/17,71222,150377,1385,243309,202.0
82,9/21/17,67799,152463,1690,243503,191.0
83,9/22/17,70192,163114,2315,243715,259.0
84,9/23/17,62748,165582,4821,243967,322.0
85,9/24/17,57503,148926,3681,244277,176.0
86,9/25/17,69271,156367,1537,244551,258.0
87,9/26/17,71566,156779,1359,244809,257.0
88,9/27/17,69942,147977,1268,245051,200.0
89,9/28/17,70951,148394,1490,245299,224.0
90,9/29/17,67246,141709,1875,245558,288.0
91,9/30/17,50200,113613,2694,245923,214.0
0,7/1/18,45265,120484,4209,274813,211.0
1,7/2/18,58633,130122,2702,275016,241.0
2,7/3/18,54882,113998,2358,275157,199.0
3,7/4/18,48368,136287,5662,275304,250.0
4,7/5/18,59471,133659,3344,275487,264.0
5,7/6/18,49504,111660,2650,275614,189.0
6,7/7/18,60916,173852,7284,275793,349.0
7,7/8/18,60486,171826,6667,275988,310.0
8,7/9/18,70063,153650,3103,276203,283.0
9,7/10/18,72501,147441,2999,276399,227.0
10,7/11/18,73011,163349,3049,276553,170.0
11,7/12/18,74857,161182,3520,276703,231.0
12,7/13/18,72113,156285,3998,276858,294.0
13,7/14/18,62556,157266,7241,277000,334.0
14,7/15/18,52295,132234,5121,277133,248.0
15,7/16/18,67072,146307,3101,277344,278.0
16,7/17/18,48495,97913,1558,277466,129.0
17,7/18/18,75706,169481,3578,277703,247.0
18,7/19/18,78004,141327,3938,277891,280.0
19,7/20/18,74539,136511,4590,278052,275.0
20,7/21/18,53651,114977,6266,278195,309.0
21,7/22/18,44284,87253,4316,278338,244.0
22,7/23/18,53074,88170,2277,278458,152.0
23,7/24/18,69754,117924,2957,278651,162.0
24,7/25/18,42988,66587,1474,278742,124.0
25,7/26/18,71065,122885,3321,278874,252.0
26,7/27/18,49224,82987,2526,278993,251.0
27,7/28/18,61543,129505,7004,279147,361.0
28,7/29/18,63472,137343,7244,279321,250.0
29,7/30/18,69512,123639,3490,279509,333.0
30,7/31/18,76253,134233,3637,279702,246.0
31,8/1/18,64467,106881,2673,279888,185.0
32,8/2/18,69711,118282,2998,280110,217.0
33,8/3/18,61962,105765,3145,280279,247.0
34,8/4/18,51200,104541,5352,280498,198.0
35,8/5/18,58379,122656,6289,280721,309.0
36,8/6/18,65686,112585,3022,280922,281.0
37,8/7/18,64351,106678,2640,281097,201.0
38,8/8/18,70577,120473,2911,281275,267.0
39,8/9/18,71976,124150,3379,281441,238.0
40,8/10/18,69617,123534,4266,281572,280.0
41,8/11/18,36607,69505,2994,281689,141.0
42,8/12/18,59834,125265,6407,281881,281.0
43,8/13/18,44273,70501,1563,281991,82.0
44,8/14/18,63733,107144,2592,282169,211.0
45,8/15/18,73124,128453,3565,282317,266.0
46,8/16/18,70825,123444,3511,282471,276.0
47,8/17/18,63316,109405,3563,282583,232.0
48,8/18/18,57284,125508,6672,282795,351.0
49,8/19/18,45874,86651,3926,282943,155.0
50,8/20/18,67589,118793,3312,283162,224.0
51,8/21/18,75214,132261,3683,283358,257.0
52,8/22/18,72614,125978,3366,283543,225.0
53,8/23/18,73877,130310,3975,283720,331.0
54,8/24/18,72894,132952,4794,283884,320.0
55,8/25/18,64683,140537,7535,284066,345.0
56,8/26/18,60954,132223,6928,284268,302.0
57,8/27/18,67630,116967,3350,284457,242.0
58,8/28/18,66638,110486,2814,284667,150.0
59,8/29/18,65903,107006,2766,284791,171.0
60,8/30/18,67900,113385,3218,284938,164.0
61,8/31/18,58922,97818,3186,285087,180.0
62,9/1/18,54318,116904,6711,285245,439.0
63,9/2/18,60828,140923,5562,285368,292.0
64,9/3/18,55067,117164,6239,285609,279.0
65,9/4/18,68655,114264,2793,285867,215.0
66,9/5/18,74981,124919,2934,286102,191.0
67,9/6/18,70264,113123,2678,286304,207.0
68,9/7/18,74586,127470,3523,286475,227.0
69,9/8/18,58284,111254,5442,286637,270.0
70,9/9/18,19950,30544,895,286752,16.0
71,9/10/18,23949,32472,463,286847,26.0
72,9/11/18,66552,109380,2456,286985,193.0
73,9/12/18,53241,82748,1650,287120,115.0
74,9/13/18,74054,123401,2874,287262,197.0
75,9/14/18,74330,128288,3623,287412,298.0
76,9/15/18,71185,149524,7570,287622,353.0
77,9/16/18,69515,150281,7410,287897,270.0
78,9/17/18,71340,118809,2914,288137,162.0
79,9/18/18,53077,82768,1433,288266,74.0
80,9/19/18,74372,129089,3529,288450,290.0
81,9/20/18,76803,129385,3130,288599,235.0
82,9/21/18,74940,128273,3677,288719,224.0
83,9/22/18,69133,142121,7511,289160,298.0
84,9/23/18,55494,104944,4716,289370,184.0
85,9/24/18,71631,115888,2615,289524,289.0
86,9/25/18,25430,35795,506,289591,65.0
87,9/26/18,68007,110772,2423,289698,296.0
88,9/27/18,75370,126480,3044,289829,399.0
89,9/28/18,57230,90249,1986,289911,296.0
90,9/29/18,69321,145920,6960,290170,906.0
91,9/30/18,66224,139423,6367,290467,675.0
0,10/1/2016,39809,91771,2017,200544,133.0
1,10/2/2016,41018,100425,2147,200664,119.0
2,10/3/2016,56369,116682,1514,200829,183.0
3,10/4/2016,60196,123551,1035,200954,144.0
4,10/5/2016,65031,126942,1240,201115,160.0
5,10/6/2016,67580,137567,1580,201234,205.0
6,10/7/2016,65881,142612,2398,201369,222.0
7,10/8/2016,34624,86818,2002,201485,160.0
8,10/9/2016,21687,46334,713,201539,56.0
9,10/10/2016,52248,107487,2013,201664,163.0
10,10/11/2016,58754,113228,1172,201761,142.0
11,10/12/2016,57497,119851,1170,201880,153.0
12,10/13/2016,61209,117523,1064,201984,168.0
13,10/14/2016,60561,123000,1592,202090,183.0
14,10/15/2016,51991,138233,3904,202215,207.0
15,10/16/2016,48866,126550,3195,202343,172.0
16,10/17/2016,62649,132131,1447,202502,236.0
17,10/18/2016,68224,143635,1656,202653,194.0
18,10/19/2016,69758,145347,1902,202772,164.0
19,10/20/2016,63668,131686,1377,202893,198.0
20,10/21/2016,40865,80787,724,202960,102.0
21,10/22/2016,25301,55557,658,203019,45.0
22,10/23/2016,41462,99878,2616,203137,134.0
23,10/24/2016,55254,106893,1145,203269,146.0
24,10/25/2016,52667,96848,716,203349,102.0
25,10/26/2016,52466,103870,809,203410,85.0
26,10/27/2016,21054,39660,101,203449,23.0
27,10/28/2016,46233,89857,766,203492,111.0
28,10/29/2016,42513,103274,2615,203579,153.0
29,10/30/2016,37760,107572,2971,203697,114.0
30,10/31/2016,50071,107875,1090,203787,123.0
31,11/1/2016,55944,110056,868,203888,105.0
32,11/2/2016,62133,133258,1242,203993,141.0
33,11/3/2016,59632,124673,943,204108,174.0
34,11/4/2016,57867,126507,1538,204195,207.0
35,11/5/2016,48687,128639,3416,204301,177.0
36,11/6/2016,39413,104186,2293,204428,97.0
37,11/7/2016,49883,106484,972,204520,119.0
38,11/8/2016,56589,123718,1137,204616,107.0
39,11/9/2016,38050,75883,257,204660,40.0
40,11/10/2016,50863,111472,813,204728,139.0
41,11/11/2016,45826,105021,1248,204802,165.0
42,11/12/2016,34664,86968,1916,204865,114.0
43,11/13/2016,36806,95679,2076,204958,95.0
44,11/14/2016,48810,113590,728,205034,97.0
45,11/15/2016,22884,48797,105,205073,16.0
46,11/16/2016,53328,107831,703,205170,113.0
47,11/17/2016,53889,109418,711,205231,106.0
48,11/18/2016,53370,109802,1051,205286,125.0
49,11/19/2016,41208,98021,2272,205376,87.0
50,11/20/2016,20616,45772,350,205407,34.0
51,11/21/2016,32964,69754,148,205449,38.0
52,11/22/2016,36723,72592,290,205479,35.0
53,11/23/2016,34462,73005,481,205501,56.0
54,11/24/2016,12122,42343,641,205518,73.0
55,11/25/2016,20980,62444,1011,205545,67.0
56,11/26/2016,23810,65654,1356,205572,44.0
57,11/27/2016,24076,74381,945,205607,31.0
58,11/28/2016,42086,83300,485,205667,42.0
59,11/29/2016,14584,30989,48,205696,9.0
60,11/30/2016,24434,52424,117,205729,10.0
61,12/1/2016,43233,90239,389,205762,58.0
62,12/2/2016,42358,89092,440,205794,52.0
63,12/3/2016,29853,70853,854,205824,58.0
64,12/4/2016,27454,71729,930,205857,28.0
65,12/5/2016,35927,80214,278,205897,38.0
66,12/6/2016,33325,67187,228,205939,26.0
67,12/7/2016,38010,76605,270,205967,18.0
68,12/8/2016,39621,72219,235,205998,23.0
69,12/9/2016,33540,63950,214,206021,31.0
70,12/10/2016,22379,52716,490,206033,20.0
71,12/11/2016,17798,41740,287,206049,6.0
72,12/12/2016,29035,58701,175,206066,14.0
73,12/13/2016,39023,68858,299,206090,21.0
74,12/14/2016,37799,71798,257,206130,16.0
75,12/15/2016,25002,45840,80,206145,13.0
76,12/16/16,24484,48288,139,206171,11.0
77,12/17/16,6993,22363,36,206176,7.0
78,12/18/16,16295,38459,168,206200,14.0
79,12/19/16,25648,50405,119,206225,12.0
80,12/20/16,27677,50408,202,206250,22.0
81,12/21/16,30611,55746,244,206270,20.0
82,12/22/16,30874,56441,302,206293,18.0
83,12/23/16,26335,53318,399,206320,27.0
84,12/24/16,8014,28033,147,206334,10.0
85,12/25/16,9919,38209,1052,206369,43.0
86,12/26/16,10774,32446,315,206400,27.0
87,12/27/16,25946,61379,960,206450,68.0
88,12/28/16,23596,52937,619,206476,38.0
89,12/29/16,13202,29631,104,206503,8.0
90,12/30/16,21366,45743,641,206543,49.0
91,12/31/16,15925,46810,798,206585,33.0
0,10/1/17,55503,139011,3511,246193,235.0
1,10/2/17,65509,141748,1408,246402,242.0
2,10/3/17,69105,135800,1258,246566,194.0
3,10/4/17,71453,150324,1377,246742,188.0
4,10/5/17,70173,150437,1365,246893,251.0
5,10/6/17,70249,148395,2104,247025,383.0
6,10/7/17,63630,153928,4996,247206,356.0
7,10/8/17,41039,100790,2233,247336,192.0
8,10/9/17,38390,78912,594,247453,84.0
9,10/10/17,74117,155978,2016,247615,312.0
10,10/11/17,63587,126748,1146,247767,161.0
11,10/12/17,61244,123433,1070,247896,169.0
12,10/13/17,67016,136608,1768,248038,308.0
13,10/14/17,58771,142476,3680,248167,347.0
14,10/15/17,56529,137364,3381,248382,276.0
15,10/16/17,61729,125800,997,248552,192.0
16,10/17/17,64480,122345,1030,248712,170.0
17,10/18/17,70233,147842,1202,248878,249.0
18,10/19/17,72311,143664,1491,249016,274.0
19,10/20/17,72174,157255,2246,249162,351.0
20,10/21/17,65872,169402,5093,249378,276.0
21,10/22/17,62148,153444,4596,249596,200.0
22,10/23/17,69273,143899,1659,249825,279.0
23,10/24/17,48077,95599,466,249930,82.0
24,10/25/17,71284,142007,1133,250090,246.0
25,10/26/17,64002,123419,973,250187,191.0
26,10/27/17,69265,139481,1991,250319,352.0
27,10/28/17,61345,143571,4306,250499,317.0
28,10/29/17,9537,20810,213,250556,8.0
29,10/30/17,49246,95502,771,250681,121.0
30,10/31/17,60242,115329,1076,250892,166.0
31,11/1/17,60772,111304,717,250975,125.0
32,11/2/17,70810,144455,1485,251060,291.0
33,11/3/17,71817,147055,2275,251163,335.0
34,11/4/17,53433,120119,3086,251269,243.0
35,11/5/17,34943,76281,1263,251349,80.0
36,11/6/17,57606,116318,1052,251433,133.0
37,11/7/17,36361,69588,643,251487,77.0
38,11/8/17,54211,107852,597,251537,95.0
39,11/9/17,58416,113119,837,251591,171.0
40,11/10/17,38432,74794,425,251614,82.0
41,11/11/17,28142,55350,832,251657,64.0
42,11/12/17,32471,73187,1191,251699,62.0
43,11/13/17,38752,72112,314,251751,47.0
44,11/14/17,52278,95328,493,251802,59.0
45,11/15/17,54230,104590,524,251842,70.0
46,11/16/17,49737,93532,521,251884,74.0
47,11/17/17,48989,93476,712,251928,74.0
48,11/18/17,27745,58136,872,251965,53.0
49,11/19/17,31597,66078,1020,252008,64.0
50,11/20/17,45120,85295,501,252041,49.0
51,11/21/17,52448,95288,960,252075,69.0
52,11/22/17,32297,69530,458,252103,64.0
53,11/23/17,13705,32527,806,252115,103.0
54,11/24/17,23723,64012,1129,252151,95.0
55,11/25/17,30510,73542,1995,252184,85.0
56,11/26/17,27180,60652,904,252227,63.0
57,11/27/17,46732,99410,553,252277,46.0
58,11/28/17,51166,97329,455,252316,58.0
59,11/29/17,55290,107040,638,252365,71.0
60,11/30/17,51699,97110,509,252414,83.0
61,12/1/17,50708,99868,695,252473,123.0
62,12/2/17,38922,83660,1513,252514,100.0
63,12/3/17,33728,77915,1037,252561,66.0
64,12/4/17,49630,92142,649,252618,63.0
65,12/5/17,41792,85008,381,252686,57.0
66,12/6/17,46335,87328,368,252724,55.0
67,12/7/17,45367,94653,427,252761,65.0
68,12/8/17,41330,81217,443,252791,58.0
69,12/9/17,10804,20955,112,252811,15.0
70,12/10/17,19815,43621,287,252830,26.0
71,12/11/17,41838,81071,456,252869,38.0
72,12/12/17,42620,88499,262,252915,42.0
73,12/13/17,32623,60051,155,252942,20.0
74,12/14/17,27494,49648,134,252960,10.0
75,12/15/17,22944,41598,130,252980,9.0
76,12/16/17,19060,38766,240,252992,24.0
77,12/17/17,22403,49790,343,253011,27.0
78,12/18/17,40168,79914,409,253054,34.0
79,12/19/17,49503,97301,541,253087,42.0
80,12/20/17,41461,78833,422,253142,40.0
81,12/21/17,37592,70297,386,253180,47.0
82,12/22/17,34338,62387,506,253212,23.0
83,12/23/17,9608,24205,112,253228,10.0
84,12/24/17,13215,37985,492,253250,39.0
85,12/25/17,6479,26767,439,253293,27.0
86,12/26/17,14113,32919,220,253324,29.0
87,12/27/17,16365,31793,234,253346,33.0
88,12/28/17,13419,34438,121,253365,17.0
89,12/29/17,13759,29284,177,253395,17.0
90,12/30/17,5956,13910,53,253407,10.0
91,12/31/17,6569,18326,94,253443,2.0
0,10/1/18,71387,120257,2618,290631,307.0
1,10/2/18,73113,122234,2666,290788,195.0
2,10/3/18,76769,129720,3141,290947,199.0
3,10/4/18,70698,116337,2838,291073,222.0
4,10/5/18,74744,129597,3979,291166,254.0
